weight,height,color,no_of_wheels
1353,113,yellow,2
2453,172,yellow,4
1226,133,black,4
1666,139,red,4
1266,190,black,4
2234,192,green,4
2446,176,white,4
2854,146,black,4
2290,140,blue,4
2760,137,black,4
2186,94,white,4
1140,142,yellow,4
1882,187,white,4
2115,126,red,4
1452,184,green,2
1923,100,blue,4
2258,144,green,4
1526,185,black,4
1675,131,white,4
1814,80,black,4
2804,155,green,4
1809,116,white,4
2270,147,blue,4
2293,136,yellow,4
2015,159,yellow,4
2660,196,white,4
1530,89,red,4
1150,178,blue,4
1891,126,green,4
1009,180,blue,4
1725,98,blue,4
1242,157,blue,2
2876,173,white,4
2734,189,blue,4
2475,178,green,4
2401,102,white,4
1850,110,red,4
2076,99,blue,4
2018,118,yellow,4
1346,180,blue,4
1517,116,white,4
2358,141,green,4
2559,116,red,4
2157,174,yellow,4
2278,116,red,4
2157,200,yellow,4
2928,183,red,4
2332,176,white,4
1617,124,blue,4
1237,95,blue,2
2884,196,red,4
2025,85,green,4
1775,169,white,4
2641,93,yellow,4
1225,81,blue,2
1897,163,blue,4
1403,196,yellow,4
2614,103,yellow,4
1670,129,yellow,4
1865,188,white,4
2627,119,yellow,4
1588,156,black,4
1342,118,green,4
1602,95,black,4
1889,123,black,4
1476,147,blue,2
1154,102,yellow,4
2561,167,yellow,4
2957,112,yellow,4
2509,165,white,4
2783,184,black,4
1931,129,white,4
2834,155,white,4
1053,196,red,4
1837,177,yellow,4
2400,128,white,4
1554,141,black,4
1811,100,yellow,4
2336,139,red,4
2215,125,black,4
1528,165,red,4
2404,127,black,4
1699,112,green,4
2940,87,red,4
1332,111,white,2
1317,162,green,4
2490,160,yellow,4
2629,162,yellow,4
1776,164,red,4
2566,141,yellow,4
2319,131,white,4
1666,148,yellow,4
2812,197,blue,4
2299,195,blue,4
2198,126,white,4
1237,181,red,2
1508,141,green,4
2766,114,red,4
2854,150,green,4
1265,198,green,2
1239,141,red,2
2445,86,red,4
1731,82,blue,4
2459,106,yellow,4
2268,157,black,4
1221,150,black,2
2645,89,white,4
1786,125,green,4
2972,90,yellow,4
2482,110,green,4
2519,128,white,4
2037,109,white,4
1208,187,red,2
2075,80,black,4
2385,143,white,4
2599,182,red,4
2286,174,white,4
1178,134,blue,2
2055,170,green,4
1822,131,blue,4
1811,149,white,4
2567,175,black,4
1666,127,red,4
2363,189,yellow,4
1681,87,black,4
1937,112,black,4
2947,170,red,4
1682,147,white,4
2086,176,black,4
2345,190,yellow,4
1296,198,red,2
2679,82,black,4
2350,168,blue,4
2438,105,green,4
1702,87,yellow,4
2317,137,red,4
1743,114,green,4
2519,177,red,4
1070,134,green,2
1728,137,black,4
1372,159,blue,4
1950,199,yellow,4
1470,107,yellow,4
2693,128,black,4
1827,102,blue,4
2539,130,red,4
2072,185,black,4
2176,145,blue,4
1914,163,black,4
1292,129,blue,4
1929,91,blue,4
1908,171,blue,4
1645,109,yellow,4
2393,194,yellow,4
2262,130,white,4
2883,142,red,4
2336,95,yellow,4
1969,124,green,4
1088,118,black,4
1425,99,black,4
2948,194,yellow,4
2757,99,yellow,4
2594,163,blue,4
1536,147,black,4
2048,134,black,4
1890,195,yellow,4
1607,93,red,4
2729,134,black,4
2046,185,green,4
1835,194,red,4
1313,106,green,4
2840,200,black,4
2397,99,yellow,4
2958,184,black,4
2448,83,blue,4
1538,141,white,4
1829,143,black,4
2201,118,black,4
1438,168,blue,4
2293,102,red,4
1558,87,black,4
1936,144,white,4
2078,92,blue,4
1432,163,red,4
2470,164,yellow,4
1229,131,red,2
1879,157,green,4
1349,139,black,4
2413,94,green,4
2251,99,white,4
2115,180,yellow,4
1380,90,green,2
1361,152,blue,2
1646,106,yellow,4
2203,137,red,4
2738,158,blue,4
1897,173,green,4
1103,154,yellow,4
1036,193,red,2
2546,118,yellow,4
2105,181,blue,4
2126,196,yellow,4
2320,91,red,4
2373,114,black,4
2835,158,yellow,4
2628,183,red,4
2804,119,red,4
2378,150,red,4
2494,98,yellow,4
1045,105,green,2
1049,108,blue,2
2458,168,white,4
1496,170,green,2
1244,149,blue,4
1099,101,white,4
1604,115,black,4
2923,90,white,4
2403,166,yellow,4
1948,122,blue,4
2840,131,blue,4
1049,127,green,4
2677,112,green,4
1800,127,yellow,4
1014,139,red,2
1034,145,green,4
2689,92,white,4
2693,187,blue,4
1498,122,blue,2
1013,164,yellow,4
2778,101,yellow,4
1648,136,black,4
1224,89,blue,4
1998,129,red,4
2902,181,yellow,4
1649,173,black,4
1070,130,green,4
1924,88,white,4
2817,133,black,4
1466,93,red,4
2999,134,blue,4
2045,199,black,4
1265,168,green,2
2937,144,yellow,4
2163,101,blue,4
1494,183,black,4
1322,189,yellow,4
2706,133,white,4
2830,151,white,4
2230,86,black,4
1231,102,red,2
2094,186,blue,4
2087,118,blue,4
1254,86,blue,2
1793,172,black,4
1759,106,yellow,4
1751,146,blue,4
2686,192,blue,4
1072,98,yellow,2
2892,147,white,4
2247,153,green,4
2560,127,yellow,4
2475,153,blue,4
2210,136,red,4
2868,135,green,4
1342,102,green,2
2135,166,yellow,4
1099,154,white,4
1920,199,black,4
1174,133,white,4
2255,175,green,4
1765,186,red,4
1576,147,black,4
1441,83,red,2
1348,190,yellow,4
2059,133,black,4
1931,190,black,4
1041,154,red,2
2025,193,blue,4
1458,151,green,2
2412,180,blue,4
2228,96,blue,4
2545,80,green,4
1282,158,red,4
1199,149,white,2
2471,113,yellow,4
2740,129,blue,4
1745,198,red,4
2032,181,white,4
2006,122,white,4
1305,142,yellow,4
2209,166,yellow,4
1077,120,blue,2
1855,95,black,4
1710,99,red,4
1477,144,red,4
2929,164,red,4
2056,128,red,4
1986,137,red,4
1050,84,green,4
2472,80,white,4
2129,172,red,4
1710,186,blue,4
2471,197,yellow,4
2844,117,black,4
2251,164,black,4
1522,119,green,4
1339,101,black,2
1926,130,yellow,4
2474,178,white,4
2912,159,green,4
2214,80,green,4
2008,86,red,4
2714,156,green,4
2673,132,blue,4
2619,182,red,4
1829,87,white,4
2124,93,white,4
2599,191,yellow,4
1558,107,black,4
1860,118,blue,4
1286,97,white,2
1852,130,blue,4
1975,162,green,4
1468,159,red,2
1911,147,yellow,4
2406,136,green,4
2001,198,red,4
2904,177,black,4
1329,136,white,2
2664,91,white,4
1312,197,yellow,2
1876,119,red,4
1816,113,blue,4
2677,196,yellow,4
1389,191,green,4
2392,132,white,4
2365,89,yellow,4
1107,196,black,2
2538,174,red,4
1199,171,yellow,2
2057,141,yellow,4
2275,112,yellow,4
2983,135,black,4
1526,95,blue,4
1514,104,yellow,4
1314,127,blue,4
2327,93,red,4
2439,107,black,4
1360,134,black,4
2551,172,blue,4
2469,85,yellow,4
1415,112,blue,2
2881,104,yellow,4
1251,173,yellow,2
2002,192,green,4
2565,104,red,4
2585,167,yellow,4
2533,128,yellow,4
1390,161,black,4
1422,173,yellow,2
2198,86,red,4
1907,149,yellow,4
2200,98,white,4
1993,144,green,4
1348,189,white,2
1674,135,blue,4
1140,194,white,4
1704,123,yellow,4
2602,154,green,4
2481,110,green,4
2571,152,white,4
1620,188,green,4
1024,161,white,2
2032,104,white,4
2748,194,white,4
2350,83,green,4
2117,116,black,4
1068,195,green,2
1526,183,yellow,4
2533,172,black,4
1303,151,blue,2
1922,152,red,4
2475,89,yellow,4
2539,179,blue,4
1267,176,yellow,2
2028,83,blue,4
1355,107,yellow,2
1137,147,green,4
1515,114,red,4
2897,197,black,4
1000,195,white,2
2818,133,blue,4
2450,169,red,4
1657,174,black,4
1373,198,green,4
1983,90,red,4
1692,133,white,4
1885,143,yellow,4
2768,162,black,4
1328,85,blue,2
2299,83,black,4
2693,147,blue,4
1198,139,green,4
2225,195,red,4
2394,153,black,4
1054,152,white,2
1004,103,red,2
2599,163,black,4
1551,119,black,4
1647,170,white,4
2701,121,black,4
2772,165,green,4
1692,90,black,4
1186,124,blue,4
2906,149,black,4
1253,120,blue,4
2417,91,black,4
1265,140,red,4
2613,163,black,4
2792,172,yellow,4
1175,154,yellow,2
2654,192,black,4
2546,160,yellow,4
1674,150,black,4
1833,180,black,4
2491,108,green,4
1338,132,yellow,2
2658,94,blue,4
2172,129,green,4
1387,179,blue,2
1924,148,red,4
2613,157,yellow,4
1324,145,black,2
2596,153,black,4
1812,184,green,4
1719,92,blue,4
1584,150,blue,4
2300,107,green,4
2181,100,green,4
1590,95,red,4
2188,122,green,4
1304,81,green,4
2220,168,red,4
2457,123,green,4
1968,138,yellow,4
1304,196,green,2
1468,187,yellow,4
2678,127,white,4
2846,138,yellow,4
1940,110,white,4
1709,86,blue,4
2663,147,yellow,4
1405,125,red,2
2770,89,blue,4
1953,179,white,4
